#show log messages | last 200 | no-more

Nov  2 14:30:00 vMX-NAPALM newsyslog[12191]: logfile turned over due to size>1024K
Nov  7 11:19:14  vMX-NAPALM /kernel: Loading the M&T Platform NETPFE module
Nov  7 11:19:15  vMX-NAPALM init: watchdog (PID 2511) started
Nov  7 11:19:15  vMX-NAPALM init: bslockd (PID 2512) started
Nov  7 11:19:15  vMX-NAPALM mib2d[2520]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 98 rows
Nov  7 11:19:15  vMX-NAPALM init: tnp-process (PID 2513) started
Nov  7 11:19:15  vMX-NAPALM mib2d[2520]: LIBJSNMP_NS_LOG_WARNING: WARNING: Warning: Failed to connect to the agentx master agent (/var/run/snmpd_agentx): Unknown host (/var/run/snmpd_agentx) (No such file or directory)
Nov  7 11:19:15  vMX-NAPALM init: interface-control (PID 2514) started
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 32 rows
Nov  7 11:19:15  vMX-NAPALM init: chassis-control (PID 2515) started
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: LIBJSNMP_NS_LOG_WARNING: WARNING: Warning: Failed to connect to the agentx master agent (/var/run/snmpd_agentx): Unknown host (/var/run/snmpd_agentx) (No such file or directory)
Nov  7 11:19:15  vMX-NAPALM init: alarm-control (PID 2516) started
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_DETACH_FPC: ifdev_detach_fpc(0)
Nov  7 11:19:15  vMX-NAPALM init: craft-control (PID 2517) started
Nov  7 11:19:15  vMX-NAPALM init: management (PID 2518) started
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_DETACH_ALL_PSEUDO: ifdev_detach(pseudo devices: all)
Nov  7 11:19:15  vMX-NAPALM init: snmp (PID 2519) started
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power off (jnxFruContentsIndex 7, jnxFruL1Index 1, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: 10x1G FPC @ 0/*/*, jnxFruType 3, jnxFruSlot 0, jnxFruOfflineReason 2, jnxFruLastPowerOff 3588, jnxFruLastPowerOn 0)
Nov  7 11:19:15  vMX-NAPALM init: mib-process (PID 2520) started
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pseudos: created pseudo interface device for demux0
Nov  7 11:19:15  vMX-NAPALM init: routing (PID 2521) started
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pseudos: created pseudo interface device for cbp0
Nov  7 11:19:15  vMX-NAPALM craftd[2517]: craftd detected platform vmx
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pseudos: created pseudo interface device for pip0
Nov  7 11:19:15  vMX-NAPALM craftd[2517]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 1 rows
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pseudos: created pseudo interface device for pp0
Nov  7 11:19:15  vMX-NAPALM craftd[2517]: LIBJSNMP_NS_LOG_WARNING: WARNING: Warning: Failed to connect to the agentx master agent (/var/run/snmpd_agentx): Unknown host (/var/run/snmpd_agentx) (No such file or directory)
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pseudos: created pseudo interface device for irb
Nov  7 11:19:15  vMX-NAPALM init: l2-learning (PID 2522) started
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pseudos: created pseudo interface device for vtep
Nov  7 11:19:15  vMX-NAPALM init: inet-process (PID 2523) started
Nov  7 11:19:15  vMX-NAPALM mib2d[2520]: MIB2D_LIMIT_EXCEEDED: pkg_info_scan: exceeded limit 69: no more room for new packages, skipped.
Nov  7 11:19:15  vMX-NAPALM last message repeated 2 times
Nov  7 11:19:15  vMX-NAPALM init: sonet-aps (PID 2524) started
Nov  7 11:19:15  vMX-NAPALM mib2d[2520]: MIB2D_LIMIT_EXCEEDED: pkg_info_scan: exceeded limit 69: no more room for new packages, skipped.
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: fpc_atlas_add: Init fpc_cpu_id ..
Nov  7 11:19:15  vMX-NAPALM rpd[2521]: shmlog: unable to create argtype: rt_instance-str: no shared memory
Nov  7 11:19:15  vMX-NAPALM rpd[2521]: L2CKT acquiring mastership for primary
Nov  7 11:19:15  vMX-NAPALM rpd[2521]: L2VPN acquiring mastership for primary
Nov  7 11:19:15  vMX-NAPALM init: sntp (PID 2526) started
Nov  7 11:19:15  vMX-NAPALM chassisd[2515]: fpc_atlas_add: Init fpc_cpu_id ..
Nov  7 11:19:15  vMX-NAPALM init: pfed (PID 2531) started
Nov  7 11:19:15  vMX-NAPALM init: remote-operations (PID 2532) started
Nov  7 11:19:15  vMX-NAPALM init: class-of-service (PID 2533) started
Nov  7 11:19:15  vMX-NAPALM init: periodic-packet-services (PID 2534) started
Nov  7 11:19:15  vMX-NAPALM init: link-management (PID 2535) started
Nov  7 11:19:15  vMX-NAPALM init: disk-monitoring (PID 2536) started
Nov  7 11:19:15  vMX-NAPALM init: firewall (PID 2537) started
Nov  7 11:19:15  vMX-NAPALM init: internal-routing-service (PID 2538) started
Nov  7 11:19:15  vMX-NAPALM init: routing-socket-proxy (PID 2539) started
Nov  7 11:19:15  vMX-NAPALM init: pic-services-logging (PID 2540) started
Nov  7 11:19:15  vMX-NAPALM init: neighbor-liveness (PID 2541) started
Nov  7 11:19:15  vMX-NAPALM init: redundancy-device (PID 2542) started
Nov  7 11:19:15  vMX-NAPALM init: ppp (PID 2543) started
Nov  7 11:19:15  vMX-NAPALM init: dynamic-flow-capture (PID 2544) started
Nov  7 11:19:15  vMX-NAPALM init: event-processing (PID 1978) started
Nov  7 11:19:15  vMX-NAPALM init: l2cpd-service (PID 2545) started
Nov  7 11:19:15  vMX-NAPALM init: tunnel-oamd (PID 2546) started
Nov  7 11:19:15  vMX-NAPALM init: ethernet-link-fault-management (PID 2547) started
Nov  7 11:19:15  vMX-NAPALM rpd[2521]: : No such file or directory
Nov  7 11:19:15  vMX-NAPALM rpd[2521]: task_create: OSPF I/Otask_get_socket: domain AF_UNIX  type SOCK_STREAM  protocol 0: No such file or directory
Nov  7 11:19:15  vMX-NAPALM rpd[2521]: task_get_socket: domain AF_UNIX  type SOCK_STREAM  protocol 0: No such file or directory
Nov  7 11:19:16  vMX-NAPALM pfed: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 2 rows
Nov  7 11:19:16  vMX-NAPALM pfed: LIBJSNMP_NS_LOG_WARNING: WARNING: Warning: Failed to connect to the agentx master agent (/var/run/snmpd_agentx): Unknown host (/var/run/snmpd_agentx) (No such file or directory)
Nov  7 11:19:16  vMX-NAPALM craftd[2517]: chassisd connection succeeded after 1 retries
Nov  7 11:19:16  vMX-NAPALM alarmd[2516]: chassisd connection succeeded after 1 retries
Nov  7 11:19:16  vMX-NAPALM snmpd[2519]: SNMPD_TRAP_COLD_START: trap_generate_cold: SNMP trap: cold start
Nov  7 11:19:16  vMX-NAPALM pfed: shmlog: unable to create argtype: pfed-str: no shared memory
Nov  7 11:19:16  vMX-NAPALM alarmd[2516]: resending alarm state
Nov  7 11:19:16  vMX-NAPALM init: secure-neighbor-discovery (PID 2550) started
Nov  7 11:19:16  vMX-NAPALM l2cpd[2545]: junos_dfw_session_connect:1107 connect() failed (Can't assign requested address).
Nov  7 11:19:16  vMX-NAPALM alarmd[2516]: craftd connection succeeded after 1 retries
Nov  7 11:19:16  vMX-NAPALM alarmd[2516]: resending alarm state
Nov  7 11:19:16  vMX-NAPALM cfmd[2548]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 9 rows
Nov  7 11:19:17  vMX-NAPALM rmopd[2532]: junos_dfw_session_connect:1107 connect() failed (Can't assign requested address).
Nov  7 11:19:17  vMX-NAPALM l2ald[2522]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 1 rows
Nov  7 11:19:17  vMX-NAPALM l2cpd[2545]: Initializing PNAC state machines
Nov  7 11:19:17  vMX-NAPALM rmopd[2532]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 20 rows
Nov  7 11:19:17  vMX-NAPALM l2cpd[2545]: Initializing PNAC state machines complete
Nov  7 11:19:17  vMX-NAPALM bfdd[2541]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 3 rows
Nov  7 11:19:17  vMX-NAPALM init: iccp-service (PID 2551) started
Nov  7 11:19:17  vMX-NAPALM l2cpd[2545]: Initialized 802.1X module and state machines
Nov  7 11:19:17  vMX-NAPALM dfcd[2544]: junos_dfw_session_connect:1107 connect() failed (Can't assign requested address).
Nov  7 11:19:17  vMX-NAPALM dfcd[2544]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 2 rows
Nov  7 11:19:17  vMX-NAPALM init: subscriber-management (PID 2552) started
Nov  7 11:19:17  vMX-NAPALM init: relay-process (PID 2553) started
Nov  7 11:19:17  vMX-NAPALM l2cpd[2545]: Read ACCESS profile () config
Nov  7 11:19:17  vMX-NAPALM init: stats-agent (PID 2554) started
Nov  7 11:19:17  vMX-NAPALM init: ddos-service (PID 2555) started
Nov  7 11:19:18  vMX-NAPALM jddosd[2555]: loop: calling evMainLoopSyncSighdl
Nov  7 11:19:18  vMX-NAPALM init: shm-rtsdbd (PID 2556) started
Nov  7 11:19:18  vMX-NAPALM init: transport-control (PID 2557) started
Nov  7 11:19:18  vMX-NAPALM init: pki-service (PID 2558) started
Nov  7 11:19:18  vMX-NAPALM init: license-service (PID 2559) started
Nov  7 11:19:18  vMX-NAPALM init: alarm-management (PID 2560) started
Nov  7 11:19:18  vMX-NAPALM license-check[2559]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 3 rows
Nov  7 11:19:18  vMX-NAPALM init: mspd (PID 2561) started
Nov  7 11:19:18  vMX-NAPALM transportd[2557]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 30 rows
Nov  7 11:19:18  vMX-NAPALM init: application-identification (PID 2562) started
Nov  7 11:19:18  vMX-NAPALM alarm-mgmtd[2560]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 5 rows
Nov  7 11:19:18  vMX-NAPALM pkid[2558]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 2 rows
Nov  7 11:19:18  vMX-NAPALM init: idp-policy (PID 2563) started
Nov  7 11:19:18  vMX-NAPALM init: resource-management (PID 2565) started
Nov  7 11:19:18  vMX-NAPALM init: charged (PID 2567) started
Nov  7 11:19:18  vMX-NAPALM init: mobiled (PID 2571) started
Nov  7 11:19:18  vMX-NAPALM init: VMX_Trio_Riot (PID 2573) started
Nov  7 11:19:18  vMX-NAPALM init: Starting of initial processes complete
Nov  7 11:19:18  vMX-NAPALM rpd[2521]: JTASK_TASK_BEGIN: Commencing routing updates version 14.1R1.10, built 2014-06-07 12:28:53 UTC by builder
Nov  7 11:19:19  vMX-NAPALM idpd[2563]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 1 rows
Nov  7 11:19:19  vMX-NAPALM idpd[2563]: IDP_COMMIT_COMPLETED: IDP policy commit is complete.
Nov  7 11:19:22  vMX-NAPALM dfwd[2537]: (LOG_INFO) CH_NET_SERV_KNOB_STATE read 2, firewall chassis state ENHANCED (Trinity FPC and MS-DPC only)
Nov  7 11:19:22  vMX-NAPALM ppmd[2534]: ppmd_cfm_open: new conn received 0x8625000
Nov  7 11:19:22  vMX-NAPALM cfmd[2548]:
Nov  7 11:19:22  vMX-NAPALM cfmd[2548]: cfmd_chassis_mac_addr_init:447 Done fetching reserved mac address. Going past mac-address init
Nov  7 11:19:22  vMX-NAPALM cosd[2533]: LIBJSNMP_SA_IPC_REG_ROWS: ns_subagent_register_mibs: registering 7 rows
Nov  7 11:19:23  vMX-NAPALM chassisd[2515]: CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 1, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: 10x1G FPC @ 0/*/*, jnxFruType 3, jnxFruSlot 0, jnxFruOfflineReason 2, jnxFruLastPowerOff 3588, jnxFruLastPowerOn 4392)
Nov  7 11:19:24  vMX-NAPALM i386_junos[2885]: fpc0 Can not get Geometry info
Nov  7 11:19:25  vMX-NAPALM /kernel: em0watchdog timeout -- resetting
Nov  7 11:19:26  vMX-NAPALM i386_junos[2885]: fpc0 Can not get Geometry info
Nov  7 11:19:26  vMX-NAPALM /kernel: Percentage memory available(19)less than threshold(20 %)- 1
Nov  7 11:19:27  vMX-NAPALM i386_junos[2885]: fpc0 JSPEC: duplicate chip version specification: ix
Nov  7 11:19:28  vMX-NAPALM i386_junos[2885]: fpc0 JSPEC: duplicate chip version specification: qx
Nov  7 11:19:29  vMX-NAPALM rpd[2521]: : No route to host
Nov  7 11:19:29  vMX-NAPALM rpd[2521]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  7 11:19:31  vMX-NAPALM i386_junos[2885]: fpc0 Can not get Geometry info
Nov  7 11:19:31  vMX-NAPALM chassisd[2515]: CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Online (jnxFruContentsIndex 7, jnxFruL1Index 1, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: 10x1G FPC @ 0/*/*, jnxFruType 3, jnxFruSlot 0)
Nov  7 11:19:31  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: fpc_create_devs_from_queue: created interface device for lc-0/0/0
Nov  7 11:19:31  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: fpc_create_devs_from_queue: created interface device for pfh-0/0/0
Nov  7 11:19:31  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: fpc_create_devs_from_queue: created interface device for pfe-0/0/0
Nov  7 11:19:33  vMX-NAPALM rpd[2521]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.3 (Internal AS 1): No route to host
Nov  7 11:19:33  vMX-NAPALM rpd[2521]: : No route to host
Nov  7 11:19:34  vMX-NAPALM i386_junos[2885]: fpc0 Can not get Geometry info
Nov  7 11:20:01  vMX-NAPALM rpd[2521]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  7 11:20:01  vMX-NAPALM rpd[2521]: : No route to host
Nov  7 11:20:02  vMX-NAPALM i386_junos[2885]: fpc0 pfe_pme_max 24
Nov  7 11:20:05  vMX-NAPALM rpd[2521]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.3 (Internal AS 1): No route to host
Nov  7 11:20:05  vMX-NAPALM rpd[2521]: : No route to host
Nov  7 11:20:12  vMX-NAPALM i386_junos[2885]: fpc0 L2ALM master RE connection made
Nov  7 11:20:16  vMX-NAPALM smartd[2536]: SMART capable device not found
Nov  7 11:20:22  vMX-NAPALM ppmd[2534]: ppmd_delete_cfm_pending_entries: CFMD delete pending timer expired
Nov  7 11:20:22  vMX-NAPALM ppmd[2534]: ppmd_delete_cfm_pending_entries: connection received 0x8625000
Nov  7 11:20:28  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[0] idx 49156 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:28  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[1] idx 49157 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:28  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[2] idx 53273 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:28  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[3] idx 53274 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:28  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[4] idx 53275 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:28  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[5] idx 53254 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:28  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[6] idx 53256 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:28  vMX-NAPALM i386_junos[2885]: fpc0 cmtfpc_set_que_chip_idx invalid pfe_idx 0 asic_inst 1
Nov  7 11:20:33  vMX-NAPALM rpd[2521]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  7 11:20:33  vMX-NAPALM rpd[2521]: : No route to host
Nov  7 11:20:37  vMX-NAPALM rpd[2521]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.3 (Internal AS 1): No route to host
Nov  7 11:20:37  vMX-NAPALM rpd[2521]: : No route to host
Nov  7 11:20:41  vMX-NAPALM i386_junos[2885]: fpc0 luchip_netlogic_tcam_init:  interrupt status non-zero at reset (0xffffffff).
Nov  7 11:20:42  vMX-NAPALM /kernel: GENCFG: op 9 (RPM Blob) failed; err 7 (Doesn't Exist)
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 cmtfpc_read_i2c: CMT: Read NPMB
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 Power off ports setting: 0
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 cos_halp_special_stream_get_queue: Unknown stream ID 1050
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 L2TP: failed to create socket
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_get_base_q_node_for_stream:546): pfe 255 is invalid. (stream 1149)
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 cos_halp_special_stream_get_queue: special stream ID 1149 cannot find in cos table
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_get_base_q_node_for_stream:546): pfe 255 is invalid. (stream 1149)
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 cos_halp_special_stream_get_queue: special stream ID 1149 cannot find in cos table
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_get_base_q_node_for_stream:546): pfe 255 is invalid. (stream 1149)
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 cos_halp_special_stream_get_queue: special stream ID 1149 cannot find in cos table
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_get_base_q_node_for_stream:546): pfe 255 is invalid. (stream 1149)
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 cos_halp_special_stream_get_queue: special stream ID 1149 cannot find in cos table
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_get_base_q_node_for_stream:546): pfe 255 is invalid. (stream 1149)
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 cos_halp_special_stream_get_queue: special stream ID 1149 cannot find in cos table
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_get_base_q_node_for_stream:546): pfe 255 is invalid. (stream 1149)
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 cos_halp_special_stream_get_queue: special stream ID 1149 cannot find in cos table
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 jnh_stream_attach(686): Stream already exits with different etype; inst: 0, table_id: 0, stream_id: 1050, etype (existing: 12(Fabric), new: 11(Tunnel)
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 gencfg no msg handlers for gencfg msg command 9
Nov  7 11:20:42  vMX-NAPALM i386_junos[2885]: fpc0 ifpfh_check_and_create_route_prefix: AE delegation disabled
Nov  7 11:20:43  vMX-NAPALM i386_junos[2885]: fpc0 CMLC: No handler for subtype 400
Nov  7 11:20:43  vMX-NAPALM chassisd[2515]: CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 8, jnxFruL1Index 1, jnxFruL2Index 1, jnxFruL3Index 0, jnxFruName PIC:  @ 0/0/*, jnxFruType 11, jnxFruSlot 0, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 8690)
Nov  7 11:20:43  vMX-NAPALM i386_junos[2885]: fpc0 mqchip_pic_attach() MQCHIP(0) not initialized
Nov  7 11:20:43  vMX-NAPALM i386_junos[2885]: fpc0 cmtfpc_pic_online: After launching rpio tunnel...
Nov  7 11:20:43  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pics: created interface device for ge-0/0/0
Nov  7 11:20:43  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pics: created interface device for ge-0/0/1
Nov  7 11:20:43  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pics: created interface device for ge-0/0/2
Nov  7 11:20:43  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pics: created interface device for ge-0/0/3
Nov  7 11:20:43  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pics: created interface device for ge-0/0/4
Nov  7 11:20:43  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pics: created interface device for ge-0/0/5
Nov  7 11:20:43  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pics: created interface device for ge-0/0/6
Nov  7 11:20:43  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pics: created interface device for ge-0/0/7
Nov  7 11:20:43  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pics: created interface device for ge-0/0/8
Nov  7 11:20:43  vMX-NAPALM chassisd[2515]: CHASSISD_IFDEV_CREATE_NOTICE: create_pics: created interface device for ge-0/0/9
Nov  7 11:20:43  vMX-NAPALM chassisd[2515]: CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 20, jnxFruL1Index 1, jnxFruL2Index 1, jnxFruL3Index 0, jnxFruName MIC: Virtual 10x1GE PIC @ 0/0/*, jnxFruType 11, jnxFruSlot 0, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 0)
Nov  7 11:20:43  vMX-NAPALM /kernel: GENCFG: op 8 (COS BLOB) failed; err 1 (Unknown)
Nov  7 11:20:44  vMX-NAPALM last message repeated 9 times
Nov  7 11:20:44  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[2] idx 49156 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:44  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[3] idx 53274 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:44  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[4] idx 53275 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:44  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[5] idx 53254 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:44  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[6] idx 53256 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:44  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[7] idx 49157 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:44  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_MUP_DOWN: IFD[8] idx 53273 is NULL; peer type 17 index 0 ignored
Nov  7 11:20:44  vMX-NAPALM /kernel: IF_MSG_IFD_BULK_ALARM: IFD is NULL (0/53256); ignored
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_ifd_setup_stream:765): cos_halp_ifd_setup_stream() bailing out, no centre chip for ge-0/0/0
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 mqchip_ifd_setup() MQCHIP(0) not initialized
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 PFE: pfe_ifd_chip_setup() xm/mqchip_ifd_setup failed for ifd ge-0/0/0. Ingress queueing 0
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_bind_scheduler_map_stream:2774): Unable to bind cos scheduler from physical interface 137
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS(cos_final_scheduler_bind_add_action:992): Platform failed to bind scheduler map 2 to element.cos_element_type 2 index 137)
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_unbind_scheduler_map:4098): Unable to unbind cos scheduler from physical interface 137
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_ifd_setup_stream:765): cos_halp_ifd_setup_stream() bailing out, no centre chip for ge-0/0/1
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 mqchip_ifd_setup() MQCHIP(0) not initialized
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 PFE: pfe_ifd_chip_setup() xm/mqchip_ifd_setup failed for ifd ge-0/0/1. Ingress queueing 0
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_bind_scheduler_map_stream:2774): Unable to bind cos scheduler from physical interface 138
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS(cos_final_scheduler_bind_add_action:992): Platform failed to bind scheduler map 2 to element.cos_element_type 2 index 138)
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_unbind_scheduler_map:4098): Unable to unbind cos scheduler from physical interface 138
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_ifd_setup_stream:765): cos_halp_ifd_setup_stream() bailing out, no centre chip for ge-0/0/2
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 mqchip_ifd_setup() MQCHIP(0) not initialized
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 PFE: pfe_ifd_chip_setup() xm/mqchip_ifd_setup failed for ifd ge-0/0/2. Ingress queueing 0
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_bind_scheduler_map_stream:2774): Unable to bind cos scheduler from physical interface 139
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS(cos_final_scheduler_bind_add_action:992): Platform failed to bind scheduler map 2 to element.cos_element_type 2 index 139)
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_unbind_scheduler_map:4098): Unable to unbind cos scheduler from physical interface 139
Nov  7 11:20:44  vMX-NAPALM i386_junos[2885]: fpc0 COS_HALP(cos_halp_ifd_setup_stream:765): cos_halp_ifd_setup_stream() bailing out, no centre chip for ge-0/0/3
